진료년도,진료월,시도,시군구,진료과목코드,진료과목명,진료인원(명),진료건수(건)
2022,01,서울특별시,종로구,0,일반,282,343
2022,01,서울특별시,종로구,1,내과,30186,51439
2022,01,서울특별시,종로구,2,신경과,2294,2974
2022,01,서울특별시,종로구,3,정신건강의학과,4277,6527
2022,01,서울특별시,종로구,4,외과,2517,4193
2022,01,서울특별시,종로구,5,정형외과,10302,23102
2022,01,서울특별시,종로구,6,신경외과,1430,2414
2022,01,서울특별시,종로구,7,심장혈관흉부외과,250,389
2022,01,서울특별시,종로구,8,성형외과,198,430
2022,01,서울특별시,종로구,9,마취통증의학과,1437,2921
2022,01,서울특별시,종로구,10,산부인과,3614,6380
2022,01,서울특별시,종로구,11,소아청소년과,1889,3322
2022,01,서울특별시,종로구,12,안과,7240,9315
2022,01,서울특별시,종로구,13,이비인후과,6656,10611
2022,01,서울특별시,종로구,14,피부과,5522,8074
2022,01,서울특별시,종로구,15,비뇨의학과,3250,4866
2022,01,서울특별시,종로구,16,영상의학과,134,173
2022,01,서울특별시,종로구,17,방사선종양학과,104,464
2022,01,서울특별시,종로구,19,진단검사의학과,10,15
2022,01,서울특별시,종로구,21,재활의학과,1707,5332
2022,01,서울특별시,종로구,22,핵의학과,12,16
2022,01,서울특별시,종로구,23,가정의학과,3068,4357
2022,01,서울특별시,종로구,24,응급의학과,1241,1969
2022,01,서울특별시,종로구,25,직업환경의학과,20,33
2022,01,서울특별시,종로구,49,치과,1762,2015
2022,01,서울특별시,종로구,50,구강악안면외과,1954,2825
2022,01,서울특별시,종로구,51,치과보철과,767,1128
2022,01,서울특별시,종로구,52,치과교정과,22,22
2022,01,서울특별시,종로구,53,소아치과,533,592
2022,01,서울특별시,종로구,54,치주과,5572,6896
2022,01,서울특별시,종로구,55,치과보존과,4695,6845
2022,01,서울특별시,종로구,56,구강내과,225,258
2022,01,서울특별시,종로구,57,구강악안면방사선과,60,61
2022,01,서울특별시,종로구,59,예방치과,8,8
2022,01,서울특별시,종로구,61,통합치의학과,32,45
2022,01,서울특별시,종로구,71,의과,232,311
2022,01,서울특별시,중구,0,일반,235,294
2022,01,서울특별시,중구,1,내과,27116,46695
2022,01,서울특별시,중구,2,신경과,2137,2763
2022,01,서울특별시,중구,3,정신건강의학과,3403,5025
2022,01,서울특별시,중구,4,외과,2360,3989
2022,01,서울특별시,중구,5,정형외과,10501,24144
2022,01,서울특별시,중구,6,신경외과,1136,1942
2022,01,서울특별시,중구,7,심장혈관흉부외과,212,302
2022,01,서울특별시,중구,8,성형외과,225,517
2022,01,서울특별시,중구,9,마취통증의학과,1056,2166
2022,01,서울특별시,중구,10,산부인과,3551,6337
2022,01,서울특별시,중구,11,소아청소년과,1748,3206
2022,01,서울특별시,중구,12,안과,6189,8070
2022,01,서울특별시,중구,13,이비인후과,6583,11240
2022,01,서울특별시,중구,14,피부과,5090,7300
2022,01,서울특별시,중구,15,비뇨의학과,2403,3537
2022,01,서울특별시,중구,16,영상의학과,205,249
